TARGET_ID,PROVABGS_LOGMSTAR_BF,FLUX_G_DERED,FLUX_R_DERED,FLUX_Z_DERED,FLUX_W1_DERED,FLUX_W2_DERED,Z
39633136581086362,10.148444175720215,12.293551,28.124426,47.3176,31.57189,18.59063,0.11475429489888007
39633149726035823,11.374980926513672,3.344031,15.738513,39.20704,71.40495,41.869186,0.38711000964941217
39633123247391258,8.90176010131836,5.3228106,8.641448,11.751194,8.100456,5.055202,0.17417700923603996
39633145330401794,11.366971969604492,8.284684,27.614338,58.076706,81.357124,61.73815,0.31335204539316713
39633136564307208,10.812539100646973,5.9617653,17.125154,32.773926,42.19938,35.26338,0.26425374613527836
39633145351375596,10.706755638122559,34.613815,72.48419,120.483246,97.28993,63.91127,0.13225828980663012
39633140955745136,11.459415435791016,8.568695,38.81662,82.28181,112.16967,75.1908,0.3179373384657884
39633114288357448,11.236982345581055,20.613995,68.8106,133.95282,142.57121,97.46428,0.21746141200057775
39633140955745117,11.196065902709961,7.323571,26.19123,55.261425,60.97251,40.532322,0.3165889437721653
39633158374690554,11.414382934570312,29.411083,104.68241,204.02887,228.31306,159.42079,0.2197411963171956
39633145322015045,10.980975151062012,18.694433,40.971516,70.30622,69.768,50.653774,0.2092406681634935
39633140964134827,10.887336730957031,40.645355,102.41677,190.55696,155.90828,98.86897,0.13315608339606752
39633114288361299,10.800021171569824,4.1330028,7.675278,11.60783,10.156241,8.612007,0.22053407778018996
39633118780458667,9.69958209991455,4.571496,7.7862372,10.779602,8.9371395,5.751945,0.1767071995428084
39633145322014745,11.201502799987793,6.394618,16.533638,30.325619,42.448093,27.654343,0.3331228110089181
39633114288361658,9.514404296875,5.965627,9.826973,14.450059,9.567882,5.696612,0.11761894338396071
39633114288361161,10.483267784118652,2.9183629,8.161193,17.341381,30.295153,27.587593,0.21872532541082204
39633145355567965,11.325850486755371,4.0371175,14.772457,30.662537,54.564625,39.40229,0.44303535901693575
39633132151899846,10.048864364624023,13.00478,28.195004,47.36562,29.064516,17.59492,0.10735897382719312
39633140968327694,10.659228324890137,2.7488856,10.420376,22.559847,27.63296,21.560022,0.2618415911207214
39633140955745172,10.032801628112793,3.05871,7.7780943,12.432312,13.684847,7.8575597,0.2687126618718759
39633140955744788,10.821670532226562,3.8502398,12.988186,27.352066,35.893097,26.351416,0.26552153659493016
39633114284167628,10.937204360961914,13.6669655,36.20991,65.73581,71.0231,50.3146,0.22838281877698344
39633114284167677,11.17161750793457,12.362686,46.090286,107.401566,203.17715,157.39944,0.21680101389731415
39633140955745170,10.699743270874023,2.865092,8.613012,16.191446,21.361446,16.993935,0.3127526671906677
39633149726035226,11.620461463928223,179.01324,497.7642,917.3544,979.8043,665.7204,0.13970870230427906
39633149726035258,10.54335880279541,15.814306,42.205055,79.0975,75.68931,48.914967,0.13735964764378236
39633149726035213,10.21100902557373,7.768768,20.726994,38.56745,55.164272,34.277454,0.13885081821992698
39633118780457570,10.860641479492188,9.330126,29.663784,59.9828,59.099457,40.37559,0.1976450976685157
39633118797238156,10.578444480895996,7.278185,21.270935,40.64831,32.20798,23.889017,0.18417226117957317
39633118797237932,10.92037582397461,18.243692,48.15502,91.92346,117.60945,87.713234,0.18546965850190905
39633118780457384,10.100703239440918,173.63733,289.01312,414.761,378.7632,261.6121,0.04222600566084752
39633118780457307,10.999934196472168,6.668914,24.233303,49.018127,55.66575,38.243343,0.24836022484573925
39633136555917881,10.185650825500488,10.47346,25.25323,44.801636,31.06285,19.796696,0.13459521419082884
39633132151898822,9.97523021697998,6.819679,12.571305,17.89621,14.947041,9.655433,0.1735299481983779
39633132151898817,10.681696891784668,10.385515,31.291838,61.328327,63.6469,47.773895,0.1704617182839531
39633145342986839,11.017685890197754,23.073847,59.227,108.47517,106.240845,73.08088,0.194289666218509
39633162682238186,10.729971885681152,3.1811118,12.768436,27.89245,37.81827,25.964329,0.2998441858259885
39633123251586716,10.273526191711426,8.670352,21.488379,33.55001,31.30541,18.476368,0.22674676045986925
